script,workload,num_ops,data_size,time_seconds
mongodb_benchmarking,read,1000,10,0.5780
mongodb_benchmarking,read,1000,100,0.5699
mongodb_benchmarking,read,1000,500,0.5669
mongodb_benchmarking,read,1000,1000,0.5621
mongodb_benchmarking,read,1000,5000,0.5713
mongodb_benchmarking,read,1000,15000,0.5785
mongodb_benchmarking,read,1000,50000,0.5509
mongodb_benchmarking,read,1000,100000,1.5298
mongodb_benchmarking,write,1000,10,0.5282
mongodb_benchmarking,write,1000,100,0.5679
mongodb_benchmarking,write,1000,500,0.5948
mongodb_benchmarking,write,1000,1000,0.5801
mongodb_benchmarking,write,1000,5000,0.5779
mongodb_benchmarking,write,1000,15000,0.9016
mongodb_benchmarking,write,1000,50000,2.3307
mongodb_benchmarking,write,1000,100000,4.4731
mongodb_benchmarking,mixed,1000,10,0.6150
mongodb_benchmarking,mixed,1000,100,0.5902
mongodb_benchmarking,mixed,1000,500,0.5927
mongodb_benchmarking,mixed,1000,1000,0.5837
mongodb_benchmarking,mixed,1000,5000,0.8381
mongodb_benchmarking,mixed,1000,15000,0.8705
mongodb_benchmarking,mixed,1000,50000,1.4771
mongodb_benchmarking,mixed,1000,100000,2.5576
