script,workload,num_ops,data_size,time_seconds
redis_benchmarking,read,1000,10,0.4030
redis_benchmarking,read,1000,100,0.3915
redis_benchmarking,read,1000,500,0.3946
redis_benchmarking,read,1000,1000,0.3836
redis_benchmarking,read,1000,5000,0.4244
redis_benchmarking,read,1000,15000,0.3875
redis_benchmarking,read,1000,50000,0.4644
redis_benchmarking,read,1000,100000,0.9476
redis_benchmarking,write,1000,10,0.4268
redis_benchmarking,write,1000,100,0.4107
redis_benchmarking,write,1000,500,0.4112
redis_benchmarking,write,1000,1000,0.4345
redis_benchmarking,write,1000,5000,0.5693
redis_benchmarking,write,1000,15000,1.4154
redis_benchmarking,write,1000,50000,2.1958
redis_benchmarking,write,1000,100000,4.1226
redis_benchmarking,mixed,1000,10,0.4337
redis_benchmarking,mixed,1000,100,0.4078
redis_benchmarking,mixed,1000,500,0.4952
redis_benchmarking,mixed,1000,1000,0.3755
redis_benchmarking,mixed,1000,5000,0.6675
redis_benchmarking,mixed,1000,15000,1.0914
redis_benchmarking,mixed,1000,50000,1.4521
redis_benchmarking,mixed,1000,100000,2.2706
