script,workload,num_ops,data_size,time_seconds
cassandra_benchmarking,read,1000,10,1.2217
cassandra_benchmarking,read,1000,100,0.8336
cassandra_benchmarking,read,1000,500,0.8894
cassandra_benchmarking,read,1000,1000,0.8814
cassandra_benchmarking,read,1000,5000,0.9119
cassandra_benchmarking,read,1000,15000,0.9066
cassandra_benchmarking,read,1000,50000,1.0245
cassandra_benchmarking,read,1000,100000,1.5382
cassandra_benchmarking,write,1000,10,0.6262
cassandra_benchmarking,write,1000,100,0.6529
cassandra_benchmarking,write,1000,500,0.6347
cassandra_benchmarking,write,1000,1000,0.6571
cassandra_benchmarking,write,1000,5000,1.1616
cassandra_benchmarking,write,1000,15000,1.7071
cassandra_benchmarking,write,1000,50000,N/A
cassandra_benchmarking,write,1000,100000,N/A
cassandra_benchmarking,mixed,1000,10,N/A
cassandra_benchmarking,mixed,1000,100,N/A
cassandra_benchmarking,mixed,1000,500,N/A
cassandra_benchmarking,mixed,1000,1000,N/A
cassandra_benchmarking,mixed,1000,5000,N/A
cassandra_benchmarking,mixed,1000,15000,N/A
cassandra_benchmarking,mixed,1000,50000,N/A
cassandra_benchmarking,mixed,1000,100000,N/A
