script,workload,num_ops,data_size,time_seconds
redis_benchmarking,read,1000,10,0.4227
redis_benchmarking,read,1000,100,0.3757
redis_benchmarking,read,1000,500,0.4123
redis_benchmarking,read,1000,1000,0.3984
redis_benchmarking,read,1000,5000,0.4452
redis_benchmarking,read,1000,15000,0.4018
redis_benchmarking,read,1000,50000,0.4661
redis_benchmarking,read,1000,100000,0.9742
redis_benchmarking,write,1000,10,0.3963
redis_benchmarking,write,1000,100,0.4699
redis_benchmarking,write,1000,500,0.3986
redis_benchmarking,write,1000,1000,0.4162
redis_benchmarking,write,1000,5000,0.5635
redis_benchmarking,write,1000,15000,1.4399
redis_benchmarking,write,1000,50000,2.2351
redis_benchmarking,write,1000,100000,4.1452
redis_benchmarking,mixed,1000,10,0.4109
redis_benchmarking,mixed,1000,100,0.3918
redis_benchmarking,mixed,1000,500,0.4059
redis_benchmarking,mixed,1000,1000,0.4150
redis_benchmarking,mixed,1000,5000,0.6492
redis_benchmarking,mixed,1000,15000,1.0996
redis_benchmarking,mixed,1000,50000,1.4196
redis_benchmarking,mixed,1000,100000,2.2539
