script,workload,num_ops,data_size,time_seconds
redis_benchmarking,read,1000,10,0.3835
redis_benchmarking,read,1000,100,0.4052
redis_benchmarking,read,1000,500,0.4259
redis_benchmarking,read,1000,1000,0.3881
redis_benchmarking,read,1000,5000,0.4405
redis_benchmarking,read,1000,15000,0.4055
redis_benchmarking,read,1000,50000,0.4678
redis_benchmarking,read,1000,100000,0.9686
redis_benchmarking,write,1000,10,0.4338
redis_benchmarking,write,1000,100,0.4294
redis_benchmarking,write,1000,500,0.4008
redis_benchmarking,write,1000,1000,0.4740
redis_benchmarking,write,1000,5000,0.5657
redis_benchmarking,write,1000,15000,1.3727
redis_benchmarking,write,1000,50000,2.2086
redis_benchmarking,write,1000,100000,4.1305
redis_benchmarking,mixed,1000,10,0.4253
redis_benchmarking,mixed,1000,100,0.4228
redis_benchmarking,mixed,1000,500,0.4249
redis_benchmarking,mixed,1000,1000,0.3927
redis_benchmarking,mixed,1000,5000,0.6406
redis_benchmarking,mixed,1000,15000,1.0980
redis_benchmarking,mixed,1000,50000,1.4432
redis_benchmarking,mixed,1000,100000,2.2312
