script,workload,num_ops,data_size,time_seconds
mongodb_benchmarking,read,1000,10,0.5737
mongodb_benchmarking,read,1000,100,0.5595
mongodb_benchmarking,read,1000,500,0.5548
mongodb_benchmarking,read,1000,1000,0.5624
mongodb_benchmarking,read,1000,5000,0.5606
mongodb_benchmarking,read,1000,15000,0.5950
mongodb_benchmarking,read,1000,50000,0.5759
mongodb_benchmarking,read,1000,100000,1.5160
mongodb_benchmarking,write,1000,10,0.5235
mongodb_benchmarking,write,1000,100,0.5255
mongodb_benchmarking,write,1000,500,0.6006
mongodb_benchmarking,write,1000,1000,0.5913
mongodb_benchmarking,write,1000,5000,0.5872
mongodb_benchmarking,write,1000,15000,0.9153
mongodb_benchmarking,write,1000,50000,2.3447
mongodb_benchmarking,write,1000,100000,4.3451
mongodb_benchmarking,mixed,1000,10,0.8068
mongodb_benchmarking,mixed,1000,100,0.5733
mongodb_benchmarking,mixed,1000,500,0.6143
mongodb_benchmarking,mixed,1000,1000,0.5959
mongodb_benchmarking,mixed,1000,5000,0.8333
mongodb_benchmarking,mixed,1000,15000,0.9004
mongodb_benchmarking,mixed,1000,50000,1.5329
mongodb_benchmarking,mixed,1000,100000,2.5671
