script,workload,num_ops,data_size,time_seconds
redis_benchmarking,read,1000,10,0.4080
redis_benchmarking,read,1000,100,0.4412
redis_benchmarking,read,1000,500,0.4025
redis_benchmarking,read,1000,1000,0.3719
redis_benchmarking,read,1000,5000,0.4106
redis_benchmarking,read,1000,15000,0.4087
redis_benchmarking,read,1000,50000,0.4684
redis_benchmarking,read,1000,100000,0.8278
redis_benchmarking,write,1000,10,0.3817
redis_benchmarking,write,1000,100,0.4106
redis_benchmarking,write,1000,500,0.4457
redis_benchmarking,write,1000,1000,0.4578
redis_benchmarking,write,1000,5000,0.5674
redis_benchmarking,write,1000,15000,1.3776
redis_benchmarking,write,1000,50000,2.1739
redis_benchmarking,write,1000,100000,4.0763
redis_benchmarking,mixed,1000,10,0.4260
redis_benchmarking,mixed,1000,100,0.4085
redis_benchmarking,mixed,1000,500,0.3875
redis_benchmarking,mixed,1000,1000,0.4281
redis_benchmarking,mixed,1000,5000,0.7584
redis_benchmarking,mixed,1000,15000,1.0751
redis_benchmarking,mixed,1000,50000,1.3966
redis_benchmarking,mixed,1000,100000,2.3153
