script,workload,num_ops,data_size,time_seconds
cassandra_benchmarking,read,1000,10,1.3031
cassandra_benchmarking,read,1000,100,0.9362
cassandra_benchmarking,read,1000,500,0.9012
cassandra_benchmarking,read,1000,1000,0.8710
cassandra_benchmarking,read,1000,5000,0.8820
cassandra_benchmarking,read,1000,15000,0.8536
cassandra_benchmarking,read,1000,50000,0.9750
cassandra_benchmarking,read,1000,100000,1.5828
cassandra_benchmarking,write,1000,10,0.6437
cassandra_benchmarking,write,1000,100,0.6019
cassandra_benchmarking,write,1000,500,0.6574
cassandra_benchmarking,write,1000,1000,0.6594
cassandra_benchmarking,write,1000,5000,1.1178
cassandra_benchmarking,write,1000,15000,1.6849
cassandra_benchmarking,write,1000,50000,7.2997
cassandra_benchmarking,write,1000,100000,6.4463
cassandra_benchmarking,mixed,1000,10,0.9764
cassandra_benchmarking,mixed,1000,100,0.6692
cassandra_benchmarking,mixed,1000,500,0.7122
cassandra_benchmarking,mixed,1000,1000,0.7254
cassandra_benchmarking,mixed,1000,5000,1.1520
cassandra_benchmarking,mixed,1000,15000,1.5339
cassandra_benchmarking,mixed,1000,50000,3.9330
cassandra_benchmarking,mixed,1000,100000,4.1465
