script,workload,num_ops,data_size,time_seconds
redis_benchmarking,read,1000,10,0.3978
redis_benchmarking,read,1000,100,0.3875
redis_benchmarking,read,1000,500,0.3915
redis_benchmarking,read,1000,1000,0.3720
redis_benchmarking,read,1000,5000,0.4320
redis_benchmarking,read,1000,15000,0.4122
redis_benchmarking,read,1000,50000,0.4814
redis_benchmarking,read,1000,100000,0.8202
redis_benchmarking,write,1000,10,0.3915
redis_benchmarking,write,1000,100,0.3918
redis_benchmarking,write,1000,500,0.5045
redis_benchmarking,write,1000,1000,0.5088
redis_benchmarking,write,1000,5000,0.5830
redis_benchmarking,write,1000,15000,1.3691
redis_benchmarking,write,1000,50000,2.1830
redis_benchmarking,write,1000,100000,4.0118
redis_benchmarking,mixed,1000,10,0.4055
redis_benchmarking,mixed,1000,100,0.4210
redis_benchmarking,mixed,1000,500,0.4040
redis_benchmarking,mixed,1000,1000,0.4591
redis_benchmarking,mixed,1000,5000,0.6393
redis_benchmarking,mixed,1000,15000,1.0805
redis_benchmarking,mixed,1000,50000,1.4516
redis_benchmarking,mixed,1000,100000,2.3492
