script,workload,num_ops,data_size,time_seconds
cassandra_benchmarking,read,1000,10,1.3109
cassandra_benchmarking,read,1000,100,0.9442
cassandra_benchmarking,read,1000,500,0.8795
cassandra_benchmarking,read,1000,1000,0.8780
cassandra_benchmarking,read,1000,5000,0.8849
cassandra_benchmarking,read,1000,15000,0.9099
cassandra_benchmarking,read,1000,50000,1.0225
cassandra_benchmarking,read,1000,100000,1.5982
cassandra_benchmarking,write,1000,10,0.6342
cassandra_benchmarking,write,1000,100,0.6302
cassandra_benchmarking,write,1000,500,0.6643
cassandra_benchmarking,write,1000,1000,0.6382
cassandra_benchmarking,write,1000,5000,1.1314
cassandra_benchmarking,write,1000,15000,1.6816
cassandra_benchmarking,write,1000,50000,6.6540
cassandra_benchmarking,write,1000,100000,6.0814
cassandra_benchmarking,mixed,1000,10,0.6291
cassandra_benchmarking,mixed,1000,100,0.6709
cassandra_benchmarking,mixed,1000,500,0.7023
cassandra_benchmarking,mixed,1000,1000,0.7240
cassandra_benchmarking,mixed,1000,5000,1.1114
cassandra_benchmarking,mixed,1000,15000,1.5489
cassandra_benchmarking,mixed,1000,50000,3.9153
cassandra_benchmarking,mixed,1000,100000,4.1101
