script,workload,num_ops,data_size,time_seconds
mongodb_benchmarking,read,1000,10,0.5830
mongodb_benchmarking,read,1000,100,0.5666
mongodb_benchmarking,read,1000,500,0.5672
mongodb_benchmarking,read,1000,1000,0.5653
mongodb_benchmarking,read,1000,5000,0.5779
mongodb_benchmarking,read,1000,15000,0.6029
mongodb_benchmarking,read,1000,50000,0.5774
mongodb_benchmarking,read,1000,100000,1.3628
mongodb_benchmarking,write,1000,10,0.5592
mongodb_benchmarking,write,1000,100,0.5544
mongodb_benchmarking,write,1000,500,0.5867
mongodb_benchmarking,write,1000,1000,0.5943
mongodb_benchmarking,write,1000,5000,0.5861
mongodb_benchmarking,write,1000,15000,0.9295
mongodb_benchmarking,write,1000,50000,2.3488
mongodb_benchmarking,write,1000,100000,4.4458
mongodb_benchmarking,mixed,1000,10,0.5873
mongodb_benchmarking,mixed,1000,100,0.5991
mongodb_benchmarking,mixed,1000,500,0.6146
mongodb_benchmarking,mixed,1000,1000,0.6015
mongodb_benchmarking,mixed,1000,5000,0.8369
mongodb_benchmarking,mixed,1000,15000,0.8632
mongodb_benchmarking,mixed,1000,50000,1.4547
mongodb_benchmarking,mixed,1000,100000,2.5164
