script,workload,num_ops,data_size,time_seconds
redis_benchmarking,read,1000,10,0.4250
redis_benchmarking,read,1000,100,0.4068
redis_benchmarking,read,1000,500,0.4097
redis_benchmarking,read,1000,1000,0.3831
redis_benchmarking,read,1000,5000,0.4445
redis_benchmarking,read,1000,15000,0.3795
redis_benchmarking,read,1000,50000,0.4386
redis_benchmarking,read,1000,100000,0.9429
redis_benchmarking,write,1000,10,0.3945
redis_benchmarking,write,1000,100,0.4115
redis_benchmarking,write,1000,500,0.4482
redis_benchmarking,write,1000,1000,0.4504
redis_benchmarking,write,1000,5000,0.5646
redis_benchmarking,write,1000,15000,1.3635
redis_benchmarking,write,1000,50000,2.1875
redis_benchmarking,write,1000,100000,4.1302
redis_benchmarking,mixed,1000,10,0.3936
redis_benchmarking,mixed,1000,100,0.4294
redis_benchmarking,mixed,1000,500,0.3692
redis_benchmarking,mixed,1000,1000,0.3905
redis_benchmarking,mixed,1000,5000,0.6670
redis_benchmarking,mixed,1000,15000,1.0837
redis_benchmarking,mixed,1000,50000,1.4436
redis_benchmarking,mixed,1000,100000,2.4453
